m1,m2,m3,m4,m5,m6,repository,version,ncloc,code_quality,testing_status,maintainability,Reliability,total
0.863013698630137,0.0273972602739726,0.958904109589041,0.958904109589041,0.958904109589041,0.958904109589041,UserInterface,10-16-2021-12-52,3796,0.6102739726027397,0.9589041095890409,0.3051369863013699,0.47945205479452047,0.7845890410958903
0.863013698630137,0.0273972602739726,0.958904109589041,0.958904109589041,0.958904109589041,0.958904109589041,UserInterface,10-16-2021-12-57,3796,0.6102739726027397,0.9589041095890409,0.3051369863013699,0.47945205479452047,0.7845890410958903
0.863013698630137,0.0273972602739726,0.958904109589041,0.958904109589041,0.958904109589041,0.958904109589041,UserInterface,10-18-2021-16-07,3796,0.6102739726027397,0.9589041095890409,0.3051369863013699,0.47945205479452047,0.7845890410958903
0.863013698630137,0.0273972602739726,0.958904109589041,0.958904109589041,0.958904109589041,0.958904109589041,UserInterface,10-19-2021-16-46,3796,0.6102739726027397,0.9589041095890409,0.3051369863013699,0.47945205479452047,0.7845890410958903
0.863013698630137,0.0273972602739726,0.958904109589041,0.958904109589041,0.958904109589041,0.958904109589041,UserInterface,10-21-2021-17-56,3796,0.6102739726027397,0.9589041095890409,0.3051369863013699,0.47945205479452047,0.7845890410958903
0.8705882352941177,0.03529411764705882,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,UserInterface,11-08-2021-23-08,5458,0.5901176470588236,0.8823529411764706,0.2950588235294118,0.4411764705882353,0.7362352941176471
0.75,0.125,1.0,1.0,1.0,1.0,User,09-13-2021-22-00,211,0.61875,1.0,0.309375,0.5,0.809375
0.75,0.125,1.0,1.0,1.0,1.0,User,09-15-2021-22-42,211,0.61875,1.0,0.309375,0.5,0.809375
0.75,0.125,1.0,1.0,1.0,1.0,User,10-16-2021-13-06,211,0.61875,1.0,0.309375,0.5,0.809375
0.75,0.125,1.0,1.0,1.0,1.0,User,10-19-2021-14-23,211,0.61875,1.0,0.309375,0.5,0.809375
0.75,0.125,1.0,1.0,1.0,1.0,User,10-28-2021-23-50,211,0.61875,1.0,0.309375,0.5,0.809375
0.75,0.125,1.0,1.0,1.0,1.0,User,10-29-2021-14-47,211,0.61875,1.0,0.309375,0.5,0.809375
0.75,0.125,1.0,1.0,1.0,1.0,User,11-08-2021-15-11,211,0.61875,1.0,0.309375,0.5,0.809375
0.75,0.125,1.0,1.0,1.0,1.0,User,11-08-2021-16-34,211,0.61875,1.0,0.309375,0.5,0.809375
0.625,0.125,1.0,1.0,1.0,1.0,FishWiki,09-13-2021-23-00,342,0.5775,1.0,0.28875,0.5,0.7887500000000001
0.625,0.125,1.0,1.0,1.0,1.0,FishWiki,09-15-2021-22-41,342,0.5775,1.0,0.28875,0.5,0.7887500000000001
0.625,0.125,1.0,1.0,1.0,1.0,FishWiki,09-23-2021-14-33,342,0.5775,1.0,0.28875,0.5,0.7887500000000001
0.625,0.125,1.0,1.0,1.0,1.0,FishWiki,10-18-2021-17-59,342,0.5775,1.0,0.28875,0.5,0.7887500000000001
0.625,0.125,1.0,1.0,1.0,1.0,FishWiki,10-19-2021-14-23,342,0.5775,1.0,0.28875,0.5,0.7887500000000001
0.625,0.125,1.0,1.0,1.0,1.0,FishWiki,10-20-2021-19-01,342,0.5775,1.0,0.28875,0.5,0.7887500000000001
0.625,0.125,1.0,1.0,1.0,1.0,FishWiki,10-23-2021-15-55,342,0.5775,1.0,0.28875,0.5,0.7887500000000001
0.625,0.125,1.0,1.0,1.0,1.0,FishWiki,10-27-2021-18-11,342,0.5775,1.0,0.28875,0.5,0.7887500000000001
0.625,0.125,1.0,1.0,1.0,1.0,FishWiki,10-29-2021-00-07,342,0.5775,1.0,0.28875,0.5,0.7887500000000001
0.625,0.125,1.0,1.0,1.0,1.0,FishWiki,10-29-2021-15-07,342,0.5775,1.0,0.28875,0.5,0.7887500000000001
0.625,0.125,1.0,1.0,1.0,1.0,FishWiki,11-05-2021-18-55,343,0.5775,1.0,0.28875,0.5,0.7887500000000001
0.625,0.125,1.0,1.0,1.0,1.0,FishWiki,11-08-2021-17-54,343,0.5775,1.0,0.28875,0.5,0.7887500000000001
0.625,0.125,1.0,1.0,1.0,1.0,FishWiki,11-08-2021-22-09,343,0.5775,1.0,0.28875,0.5,0.7887500000000001
0.625,0.125,1.0,1.0,1.0,1.0,FishWiki,11-08-2021-22-11,343,0.5775,1.0,0.28875,0.5,0.7887500000000001
0.625,0.125,1.0,1.0,1.0,1.0,FishWiki,11-08-2021-22-12,343,0.5775,1.0,0.28875,0.5,0.7887500000000001
1.0,0.0,1.0,1.0,1.0,1.0,FishLog,09-13-2021-21-00,5,0.66,1.0,0.33,0.5,0.8300000000000001
0.625,0.125,1.0,1.0,1.0,1.0,FishLog,09-15-2021-22-42,382,0.5775,1.0,0.28875,0.5,0.7887500000000001
0.625,0.125,1.0,1.0,1.0,1.0,FishLog,10-18-2021-06-28,382,0.5775,1.0,0.28875,0.5,0.7887500000000001
0.625,0.125,1.0,1.0,1.0,1.0,FishLog,10-18-2021-15-51,382,0.5775,1.0,0.28875,0.5,0.7887500000000001
0.625,0.125,1.0,1.0,1.0,1.0,FishLog,10-19-2021-14-23,382,0.5775,1.0,0.28875,0.5,0.7887500000000001
0.625,0.125,1.0,1.0,1.0,1.0,FishLog,10-20-2021-17-14,382,0.5775,1.0,0.28875,0.5,0.7887500000000001
0.625,0.125,1.0,1.0,1.0,1.0,FishLog,10-28-2021-23-52,382,0.5775,1.0,0.28875,0.5,0.7887500000000001
0.625,0.125,1.0,1.0,1.0,1.0,FishLog,11-06-2021-12-28,390,0.5775,1.0,0.28875,0.5,0.7887500000000001
0.625,0.125,1.0,1.0,1.0,1.0,FishLog,11-06-2021-12-32,390,0.5775,1.0,0.28875,0.5,0.7887500000000001
1.0,0.0,1.0,1.0,1.0,1.0,FishLog,11-08-2021-20-19,5,0.66,1.0,0.33,0.5,0.8300000000000001
0.625,0.125,1.0,1.0,1.0,1.0,FishLog,11-08-2021-22-55,390,0.5775,1.0,0.28875,0.5,0.7887500000000001
